split,target,fold,subject_id,balance_rate,history_rows,future_rows,history_pos_rate,target_future_mean,before_mean,after_mean,candidate
oof,Q2,3,id01,0.3,33,8,0.5757575757575758,0.02,0.6618680058207336,0.01999999999999999,allq_rate_0p3
oof,Q2,3,id02,0.3,38,10,0.6578947368421053,0.02,0.6871427304300618,0.02,allq_rate_0p3
oof,Q2,3,id03,0.3,26,7,0.7692307692307693,0.02,0.6658245466098799,0.02,allq_rate_0p3
oof,Q2,3,id04,0.3,46,11,0.4782608695652174,0.02,0.47795735995160293,0.01999999999999999,allq_rate_0p3
oof,Q2,3,id05,0.3,35,9,0.5428571428571428,0.02,0.5757950897431505,0.019999999999999997,allq_rate_0p3
oof,Q2,3,id06,0.3,38,10,0.39473684210526316,0.02,0.4833734564986433,0.020000000000000007,allq_rate_0p3
oof,Q2,3,id07,0.3,39,10,0.5897435897435898,0.02,0.5953098451450097,0.020000000000000007,allq_rate_0p3
oof,Q2,3,id08,0.3,45,11,0.7777777777777778,0.02,0.6804641451139335,0.020000000000000007,allq_rate_0p3
oof,Q2,3,id09,0.3,33,8,0.5454545454545454,0.02,0.5661386316222803,0.019999999999999983,allq_rate_0p3
oof,Q2,3,id10,0.3,26,7,0.5384615384615384,0.02,0.5895626259855261,0.020000000000000007,allq_rate_0p3
oof,Q2,4,id01,0.3,33,8,0.5757575757575758,0.02,0.6421728441963174,0.019999999999999983,allq_rate_0p3
oof,Q2,4,id02,0.3,39,9,0.6666666666666666,0.02,0.63302420994593,0.019999999999999983,allq_rate_0p3
oof,Q2,4,id03,0.3,27,6,0.7777777777777778,0.02,0.7513141621164267,0.01999999999999998,allq_rate_0p3
oof,Q2,4,id04,0.3,46,11,0.41304347826086957,0.02,0.49052878420536383,0.019999999999999993,allq_rate_0p3
oof,Q2,4,id05,0.3,36,8,0.4444444444444444,0.02,0.3318364033692512,0.019999999999999997,allq_rate_0p3
oof,Q2,4,id06,0.3,39,9,0.3076923076923077,0.2666666666666665,0.5578370768343474,0.26666666666666644,allq_rate_0p3
oof,Q2,4,id07,0.3,40,9,0.5,0.02,0.4582058790584466,0.02,allq_rate_0p3
