candidate,rates,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
allq_rate_0p51,"{""Q1"": 0.51, ""Q2"": 0.51, ""Q3"": 0.51}",0.9385284978236806,0.9534074699117264,0.34269874673030565,0.360125263113392
allq_rate_0p505,"{""Q1"": 0.505, ""Q2"": 0.505, ""Q3"": 0.505}",0.9369927528911491,0.9537147219577423,0.34116300179777415,0.3604325151594079
allq_rate_0p515,"{""Q1"": 0.515, ""Q2"": 0.515, ""Q3"": 0.515}",0.9417352022906631,0.9549156872143507,0.3459054511972881,0.3616334804160163
allq_rate_0p5,"{""Q1"": 0.5, ""Q2"": 0.5, ""Q3"": 0.5}",0.9375612279483745,0.9555054502714894,0.3417314768549995,0.36222324347315493
allq_rate_0p49,"{""Q1"": 0.49, ""Q2"": 0.49, ""Q3"": 0.49}",0.9439336989814776,0.9566065809896394,0.3481039478881026,0.3633243741913049
allq_rate_0p495,"{""Q1"": 0.495, ""Q2"": 0.495, ""Q3"": 0.495}",0.9403542150041011,0.9568387942617816,0.3445244639107261,0.3635565874634472
allq_rate_0p52,"{""Q1"": 0.52, ""Q2"": 0.52, ""Q3"": 0.52}",0.9452284221953271,0.9582232237672835,0.3493986711019521,0.3649410169689491
allq_rate_0p485,"{""Q1"": 0.485, ""Q2"": 0.485, ""Q3"": 0.485}",0.9479691621958376,0.9590814623655072,0.3521394111024626,0.36579925556717274
allq_rate_0p53,"{""Q1"": 0.53, ""Q2"": 0.53, ""Q3"": 0.53}",0.9436682741603609,0.9619657494181953,0.3478385230669859,0.3686835426198609
allq_rate_0p525,"{""Q1"": 0.525, ""Q2"": 0.525, ""Q3"": 0.525}",0.947241867358206,0.9621980361247521,0.35141211626483104,0.36891582932641764
allq_rate_0p63,"{""Q1"": 0.63, ""Q2"": 0.63, ""Q3"": 0.63}",1.0427349917661728,0.9622860532548587,0.4469052406727978,0.3690038464565243
allq_rate_0p48,"{""Q1"": 0.48, ""Q2"": 0.48, ""Q3"": 0.48}",0.9534971380816664,0.9629765926398554,0.35766738698829137,0.3696943858415209
allq_rate_0p535,"{""Q1"": 0.535, ""Q2"": 0.535, ""Q3"": 0.535}",0.9439456954066825,0.9651928332844874,0.3481159443133075,0.3719106264861529
allq_rate_0p475,"{""Q1"": 0.475, ""Q2"": 0.475, ""Q3"": 0.475}",0.957531370850768,0.969585915469756,0.361701619757393,0.3763037086714216
allq_rate_0p575,"{""Q1"": 0.575, ""Q2"": 0.575, ""Q3"": 0.575}",0.9847588300881446,0.9722592373735457,0.3889290789947696,0.37897703057521126
allq_rate_0p58,"{""Q1"": 0.58, ""Q2"": 0.58, ""Q3"": 0.58}",0.9916663743477491,0.9724197449427651,0.3958366232543741,0.37913753814443063
allq_rate_0p54,"{""Q1"": 0.54, ""Q2"": 0.54, ""Q3"": 0.54}",0.947471735259621,0.9731883262300939,0.35164198416624604,0.37990611943175945
allq_rate_0p625,"{""Q1"": 0.625, ""Q2"": 0.625, ""Q3"": 0.625}",1.0368754908880342,0.9736582786677043,0.4410457397946592,0.38037607186936984
allq_rate_0p565,"{""Q1"": 0.565, ""Q2"": 0.565, ""Q3"": 0.565}",0.9753041439798389,0.9737815066997256,0.3794743928864639,0.3804992999013912
allq_rate_0p56,"{""Q1"": 0.56, ""Q2"": 0.56, ""Q3"": 0.56}",0.9675196414896264,0.9741526743396375,0.37168989039625144,0.38087046754130305
allq_rate_0p57,"{""Q1"": 0.57, ""Q2"": 0.57, ""Q3"": 0.57}",0.9808133568232243,0.9748414810745963,0.38498360572984935,0.3815592742762619
allq_rate_0p555,"{""Q1"": 0.555, ""Q2"": 0.555, ""Q3"": 0.555}",0.9613875935736473,0.9761193405303491,0.36555784248027234,0.38283713373201467
allq_rate_0p585,"{""Q1"": 0.585, ""Q2"": 0.585, ""Q3"": 0.585}",0.9986631790619459,0.9777001916862081,0.4028334279685709,0.3844179848878737
allq_rate_0p55,"{""Q1"": 0.55, ""Q2"": 0.55, ""Q3"": 0.55}",0.958359028154555,0.980367003101321,0.36252927706118,0.38708479630298653
allq_rate_0p47,"{""Q1"": 0.47, ""Q2"": 0.47, ""Q3"": 0.47}",0.9642637082426961,0.9804388668650408,0.36843395714932115,0.38715666006670635
allq_rate_0p545,"{""Q1"": 0.545, ""Q2"": 0.545, ""Q3"": 0.545}",0.9528200916142132,0.9810284764178105,0.3569903405208382,0.3877462696194761
allq_rate_0p62,"{""Q1"": 0.62, ""Q2"": 0.62, ""Q3"": 0.62}",1.036094344386381,0.9848001992470861,0.44026459329300605,0.39151799244875163
