candidate,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,fold_std,tail3_mean,tail3_worst,test_abs_delta_mean_vs_anchor,public_direction_risk,bad_submission_alignment,selector_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,base,actions
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__q2_force_Q2_only_3,0.5929191710990352,0.5708689226340016,-0.002910579994339746,-0.02241328416433286,0.016301993713210772,0.5952509031648784,0.6193783243597026,0.007831774534315872,0.0009275658582583942,0.0001100980010403922,0.576746991213093,0.5963371294272993,0.5817741938883921,0.6193783243597026,0.5955054625009311,0.5708689226340016,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__tight_Q2_only_5,0.5928803142592285,0.5708895530216479,-0.0029494368341465016,-0.022392653776686533,0.016223278509562344,0.5951808521481706,0.6191696425886976,0.007831033187326262,0.0009308764096265526,0.00011010168019829758,0.5767657856366704,0.5963226583455697,0.5818017855304297,0.6191696425886976,0.5954833608341662,0.5708895530216479,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__prob__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__tight_Q2_only_6,0.5928803142592285,0.5708895530216479,-0.0029494368341465016,-0.022392653776686533,0.016223278509562344,0.5951808521481706,0.6191696425886976,0.007831033187326262,0.0009308764096265526,0.00011010168019829758,0.5767657856366704,0.5963226583455697,0.5818017855304297,0.6191696425886976,0.5954833608341662,0.5708895530216479,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__prob__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__tight_Q2_only_7,0.5928803142592285,0.5708895530216479,-0.0029494368341465016,-0.022392653776686533,0.016223278509562344,0.5951808521481706,0.6191696425886976,0.007831033187326262,0.0009308764096265526,0.00011010168019829758,0.5767657856366704,0.5963226583455697,0.5818017855304297,0.6191696425886976,0.5954833608341662,0.5708895530216479,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__prob__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__tight_Q2_only_5,0.5928803142592285,0.5708895530216479,-0.0029494368341465016,-0.022392653776686533,0.016223278509562344,0.5951808521481706,0.6191696425886976,0.007831033187326262,0.0009308764096265526,0.00011010168019829758,0.5767657856366704,0.5963226583455697,0.5818017855304297,0.6191696425886976,0.5954833608341662,0.5708895530216479,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__prob__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__tight_Q2_only_6,0.5928803142592285,0.5708895530216479,-0.0029494368341465016,-0.022392653776686533,0.016223278509562344,0.5951808521481706,0.6191696425886976,0.007831033187326262,0.0009308764096265526,0.00011010168019829758,0.5767657856366704,0.5963226583455697,0.5818017855304297,0.6191696425886976,0.5954833608341662,0.5708895530216479,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__prob__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_aggressive__tight_Q2_only_7,0.5928803142592285,0.5708895530216479,-0.0029494368341465016,-0.022392653776686533,0.016223278509562344,0.5951808521481706,0.6191696425886976,0.007831033187326262,0.0009308764096265526,0.00011010168019829758,0.5767657856366704,0.5963226583455697,0.5818017855304297,0.6191696425886976,0.5954833608341662,0.5708895530216479,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__prob__a0p08__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__balanced_Q2_only_5,0.5926484699090125,0.5706068620973453,-0.00318128118436245,-0.022675344700989086,0.016100518297885637,0.5948578808183612,0.6186088255126053,0.00805820206248913,0.0010352452746460778,0.00011140195287671971,0.576780332188657,0.5960984049516392,0.581821199718232,0.6186088255126053,0.5953579548451333,0.5706068620973453,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__logit__a0p12__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__balanced_Q2_only_6,0.5926484699090125,0.5706068620973453,-0.00318128118436245,-0.022675344700989086,0.016100518297885637,0.5948578808183612,0.6186088255126053,0.00805820206248913,0.0010352452746460778,0.00011140195287671971,0.576780332188657,0.5960984049516392,0.581821199718232,0.6186088255126053,0.5953579548451333,0.5706068620973453,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__logit__a0p12__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__balanced_Q2_only_7,0.5926484699090125,0.5706068620973453,-0.00318128118436245,-0.022675344700989086,0.016100518297885637,0.5948578808183612,0.6186088255126053,0.00805820206248913,0.0010352452746460778,0.00011140195287671971,0.576780332188657,0.5960984049516392,0.581821199718232,0.6186088255126053,0.5953579548451333,0.5706068620973453,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_last_last0.586345_full0.593006__logit__a0p12__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__q2_force_Q2_only_5,0.5926484699090125,0.5706068620973453,-0.00318128118436245,-0.022675344700989086,0.016100518297885637,0.5948578808183612,0.6186088255126053,0.00805820206248913,0.0010352452746460778,0.00011140195287671971,0.576780332188657,0.5960984049516392,0.581821199718232,0.6186088255126053,0.5953579548451333,0.5706068620973453,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_composite_last0.586688_full0.592353__logit__a0p12__cap0p024__base""]"
public_aware_stack_blend_with_lgbm_source_20260622_target_select_public_balanced__q2_force_Q2_only_6,0.5926484699090125,0.5706068620973453,-0.00318128118436245,-0.022675344700989086,0.016100518297885637,0.5948578808183612,0.6186088255126053,0.00805820206248913,0.0010352452746460778,0.00011140195287671971,0.576780332188657,0.5960984049516392,0.581821199718232,0.6186088255126053,0.5953579548451333,0.5706068620973453,,"[""Q2__target_weighted_single_model_lgbm_20260622_target_weighted_single_full_last0.587857_full0.591406__logit__a0p12__cap0p024__base""]"
