target,source,mode,alpha,full_logloss,last_logloss,full_delta_vs_base,last_delta_vs_base,fold_std,tail3_worst,fp_rate,fn_rate,pred_pos_rate,true_pos_rate,test_pos_rate,base_test_pos_rate,test_pos_delta,test_mean_delta,test_abs_delta_mean,fp_pressure,test_pos_inflation,full_regret,tail_regret,public_tail_score,private_full_score,balanced_score,fp_suppress_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q2,raw_comp,prob,0.55,0.6792884773922864,0.6478879974527095,-0.013377612476401235,0.030937474776887797,0.0443310993299939,0.7347773159213198,0.3333333333333333,0.12666666666666668,0.7688888888888888,0.5622222222222222,0.84,0.84,0.0,-0.02645998240843271,0.03480219413958753,0.20666666666666667,0.0,0.0,0.0,1.2939896430574003,1.0041765208825608,1.4870279730610703,1.598311299557809,0.7080737288316705,0.6105382794181363,0.7347773159213198,0.693658720614432,0.6478879974527095
Q2,raw_comp,prob,0.6,0.6785770656607549,0.6511246581509996,-0.014089024207932677,0.03417413547517789,0.04344238763601752,0.7320504072386133,0.3333333333333333,0.12666666666666668,0.7688888888888888,0.5622222222222222,0.836,0.84,-0.0040000000000000036,-0.028865435354653867,0.03796602997045912,0.20666666666666667,0.0,0.0,0.0,1.299599180628844,1.0049034002484052,1.4896786426290343,1.5995954914374269,0.706612429621758,0.6090373787860323,0.7320504072386133,0.6927809393836355,0.6511246581509996
Q2,raw_comp,prob,0.65,0.6779440092331938,0.6544345880909894,-0.01472208063549385,0.03748406541516769,0.04264076502707868,0.7294578910829107,0.3333333333333333,0.13111111111111112,0.7644444444444445,0.5622222222222222,0.84,0.84,0.0,-0.03127088830087502,0.04112986580133071,0.2022222222222223,0.0,0.0,0.0,1.2919486541086544,0.9990566220998934,1.4831146322505702,1.5849763559314405,0.7051879213653243,0.6076165164643001,0.7294578910829107,0.6919737826807677,0.6544345880909894
Q2,raw_comp,prob,0.7,0.6773884422519668,0.6578185844068192,-0.01527764761672079,0.04086806173099744,0.041928902335571366,0.7269961992938634,0.33111111111111113,0.13555555555555557,0.7577777777777778,0.5622222222222222,0.84,0.84,0.0,-0.033676341247096175,0.04429370163220231,0.1955555555555556,0.0,0.0,0.0,1.2777055272976379,0.9899688133395502,1.4720021811584851,1.5624532264657474,0.7037999050745206,0.6062754250580905,0.7269961992938634,0.691236254270108,0.6578185844068192
Q2,raw_comp,prob,0.75,0.6769096067786321,0.6612775063236104,-0.015756483090055506,0.04432698364778864,0.041309396210822844,0.7246620561144783,0.33111111111111113,0.14222222222222222,0.7511111111111111,0.5622222222222222,0.836,0.84,-0.0040000000000000036,-0.036081794193317335,0.04745753746307391,0.18888888888888888,0.0,0.0,0.0,1.2635373260875826,0.9809727212072916,1.4610076706548214,1.5400255599081873,0.7024480960557369,0.6050139307198612,0.7246620561144783,0.6905674423516605,0.6612775063236104
Q2,raw_comp,prob,0.8,0.6765068476022015,0.6648122771158802,-0.01615924226648613,0.04786175444005847,0.04078468072046866,0.7224524547713358,0.32666666666666666,0.14666666666666667,0.7422222222222222,0.5622222222222222,0.824,0.84,-0.016000000000000014,-0.03848724713953849,0.0506213732939455,0.18000000000000005,0.0,0.0,0.0,1.2427783070863396,0.9687345418136997,1.4454642866629084,1.5096929318664012,0.7011322235622512,0.6038319531715995,0.7224524547713358,0.6899665150465266,0.6648122771158802
Q2,raw_comp,prob,0.9,0.6759274254887352,0.6721133921564941,-0.016738664379952417,0.055162869480672394,0.04002801011610404,0.7183960749141831,0.31333333333333335,0.1622222222222222,0.7133333333333334,0.5622222222222222,0.784,0.84,-0.05599999999999994,-0.043298153031980806,0.05694904495568868,0.1511111111111112,0.0,0.0,0.0,1.1681585092065943,0.9278639272904586,1.391397646985985,1.409311665386242,0.6986072729762999,0.6017066989561823,0.7183960749141831,0.6889653627079075,0.6721133921564941
Q2,raw_comp,prob,1.0,0.6756468410192268,0.6797306871716269,-0.017019248849460822,0.06278016449580515,0.039671818406888576,0.7148076664637334,0.29777777777777775,0.19333333333333333,0.6666666666666666,0.5622222222222222,0.764,0.84,-0.07599999999999996,-0.04810905892442311,0.06327671661743187,0.10444444444444445,0.0,0.0,0.0,1.040521557968034,0.8606887197394125,1.3004704106056708,1.2453082815436702,0.6962231545124214,0.5999009255702441,0.7148076664637334,0.6882275988426698,0.6797306871716269
Q2,raw_last,logit,0.1,0.6929249587091594,0.6178401165508441,0.00025886884047177094,0.0008895938750224097,0.05982987036602453,0.7780090391111266,0.3377777777777778,0.11777777777777777,0.7822222222222223,0.5622222222222222,0.84,0.84,0.0,0.001682301779690798,0.0024940808888022324,0.22000000000000008,0.0,0.0,0.0029461589781729636,1.280152601064172,1.0240799367837452,1.4965732950521595,1.6403202681801716,0.7262819742169606,0.6319712390166221,0.7780090391111266,0.7069105029604058,0.6178401165508441
Q2,raw_last,logit,0.2,0.6932366361256982,0.6187799049485305,0.0005705462570105846,0.0018293822727087905,0.06043977011035647,0.7809923808878271,0.33555555555555555,0.12,0.7777777777777778,0.5622222222222222,0.84,0.84,0.0,0.0033547972119379755,0.004977825900688464,0.2155555555555556,0.0,0.0,0.005929500754873418,1.2700693661539448,1.0188918424793303,1.4899070636153757,1.625798297075589,0.725909791589475,0.6315553952735709,0.7809923808878271,0.7054933367792875,0.6187799049485305
