candidate,full_logloss,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,last_logloss,tail3_mean,tail3_worst,fold_std,notes,full_delta_vs_anchor,last_delta_vs_anchor,rank_score
knn_targetwise_guarded,0.5964337275158688,0.5936734110291769,0.5825483022803476,0.6233708587467521,0.5906181875479888,0.5927225551797213,0.5927225551797213,0.6022372004914874,0.6233708587467521,0.013953564268737352,public-confirmed KNN guarded family,0.0006039764224937683,-0.000559651618613155,0.6010253002028045
subblend_logit_extra_trees_20_80knn,0.5971089558587375,0.5935144365399464,0.5825879992761813,0.6215040151855379,0.5940734600080472,0.5946660298111157,0.5946660298111157,0.6034145016682336,0.6215040151855379,0.012914731275090066,submission-level logit blend with KNN guarded,0.0012792047653624739,0.0013838230127812823,0.6029161666902159
subblend_arith_extra_trees_20_80knn,0.5973677146038201,0.5938973467919185,0.5828626176230681,0.6217385371565449,0.5941940748874538,0.5949420392735687,0.5949420392735687,0.6036248837725224,0.6217385371565449,0.01290122037734464,submission-level arith blend with KNN guarded,0.0015379635104451062,0.0016598324752342686,0.6035887632236442
subblend_logit_diverse_oof_stack_20_80knn,0.5970819283233962,0.5934429397097105,0.5828279786904315,0.6225464386977186,0.592389133807235,0.595069936828458,0.595069936828458,0.6033351697778039,0.6225464386977186,0.013347499941081436,submission-level logit blend with KNN guarded,0.0012521772300212453,0.0017877300301235577,0.60367214679546
subblend_arith_diverse_oof_stack_20_80knn,0.5971667211443058,0.5933900440532814,0.5830260137779157,0.6226450132171234,0.5925158476532026,0.5951282326651443,0.5951282326651443,0.6034296978451569,0.6226450132171234,0.013334169661191168,submission-level arith blend with KNN guarded,0.001336970050930808,0.0018460258668098195,0.6038590481217287
subblend_logit_hist_gb_20_80knn,0.5979494374775519,0.5933779417523003,0.5826404696055967,0.6221507016759847,0.5960654916583145,0.5964098608932618,0.5964098608932618,0.604875351409187,0.6221507016759847,0.013013245448763361,submission-level logit blend with KNN guarded,0.002119686384176922,0.0031276540949273235,0.6056357630629063
subblend_arith_hist_gb_20_80knn,0.5980301002696581,0.5935778337506823,0.5827505039493595,0.6222651596469625,0.5960775617777332,0.5963642692345079,0.5963642692345079,0.6049023302197346,0.6222651596469625,0.01301581852763015,submission-level arith blend with KNN guarded,0.0022003491762830896,0.0030820624361734827,0.6057417832984623
subblend_arith_feature_knn_20_80knn,0.5997192609429615,0.599521214439077,0.585589093890275,0.6210286508653606,0.5978177702572937,0.5950424251651755,0.5950424251651755,0.6046296154292765,0.6210286508653606,0.011655444601821635,submission-level arith blend with KNN guarded,0.00388950984958647,0.0017602183668410376,0.6066163523421847
subblend_logit_extra_trees_35_65knn,0.5985827232622368,0.5944605747454066,0.583676187151964,0.6209830552442079,0.5974622502812678,0.5971572258738653,0.5971572258738653,0.6052008437997803,0.6209830552442079,0.012199368459987104,submission-level logit blend with KNN guarded,0.0027529721688618336,0.0038750190755308944,0.6068104581327077
subblend_logit_diverse_oof_stack_35_65knn,0.5980179132586168,0.5935758732890386,0.5837780984365969,0.6223387587638692,0.5940216830736303,0.5973266131207965,0.5973266131207965,0.6045623516527653,0.6223387587638692,0.012886227279882834,submission-level logit blend with KNN guarded,0.0021881621652417582,0.0040444063224620574,0.6068305988575455
