target,config_key,model,param_profile,weight_profile,top_k,shrink,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q1,ridge|logit_newton|ridge0p3|recent_class|top160,ridge,ridge0p3,recent_class,160,0.03,0.5910967333685302,0.6175326426978504,0.0006718494969024658,-0.0009732288053624361,0.6227559596796624,0.5415460042455034,0.6350460680217135,0.5911446254646358,0.5741369862893915,0.6175326426978504
Q1,ridge|logit_newton|ridge0p3|subject_class|top240,ridge,ridge0p3,subject_class,240,0.02,0.5902989896670806,0.6180238084987051,-0.00012589420454711675,-0.00048206300450770456,0.6229732999517679,0.5418627832870075,0.6338050920924435,0.5916611594051102,0.5701440857963579,0.6180238084987051
Q1,ridge|logit_newton|ridge0p3|subject_class|top160,ridge,ridge0p3,subject_class,160,0.02,0.5915780082874686,0.6175079226367317,0.0011531244158409226,-0.0009979488664810798,0.6229959408604545,0.5438414702869647,0.6330612855253925,0.5949320009388624,0.5724659072807298,0.6175079226367317
Q1,ridge|logit_newton|ridge10|recent_resid|top40,ridge,ridge10,recent_resid,40,0.05,0.5905993667153672,0.6184190188161827,0.000174482843739443,-8.685268703012561e-05,0.6230996039220613,0.5392118346125863,0.6307112933997022,0.5938200131661862,0.5750339041356783,0.6184190188161827
Q1,ridge|logit_newton|ridge1|subject_class|top120,ridge,ridge1,subject_class,120,0.02,0.5913185732232781,0.6178822059500017,0.0008936893516503508,-0.000623665553211139,0.623267390129862,0.5448657391255444,0.6313559345075886,0.5943176533451737,0.5720635350904663,0.6178822059500017
Q1,ridge|logit_newton|ridge3|subject_class|top120,ridge,ridge3,subject_class,120,0.01,0.5907767074967842,0.6182267001129582,0.000351823625156511,-0.0002791713902545734,0.6232981982119226,0.5436180157827902,0.6311590427760211,0.5939344681971842,0.5709322117650137,0.6182267001129582
Q1,ridge|logit_newton|ridge0p3|subject_class|top120,ridge,ridge0p3,subject_class,120,0.01,0.5909003970307767,0.6181529837030593,0.00047551315914895476,-0.00035288780015352295,0.6233100227482976,0.543866480422655,0.6314313724969722,0.5938647894654019,0.5711483850412902,0.6181529837030593
Q1,ridge|logit_newton|ridge0p3|uniform|top160,ridge,ridge0p3,uniform,160,0.01,0.5912317106723086,0.6179319918377992,0.0008068268006808932,-0.000573879665413557,0.6233162449032105,0.5446761278657405,0.632066807683247,0.5941663419259777,0.571220887477133,0.6179319918377992
Q1,ridge|logit_newton|ridge1|subject_class|top160,ridge,ridge1,subject_class,160,0.01,0.5909239864767976,0.618191985635965,0.0004991026051698322,-0.00031388586724778733,0.6233612254300434,0.5431535836251323,0.6320685529567946,0.5941221641436498,0.5710867684330192,0.618191985635965
Q1,ridge|logit_newton|ridge0p3|recent_resid|top160,ridge,ridge0p3,recent_resid,160,0.01,0.5906623510383427,0.6183459723096671,0.00023746716671502188,-0.00015989919354564286,0.623372534326446,0.5420098116078532,0.6326660266054965,0.5927070968503444,0.571614123892923,0.6183459723096671
Q1,ridge|logit_newton|ridge30|recent_resid|top40,ridge,ridge30,recent_resid,40,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128
Q1,ridge|logit_newton|ridge100|recent_class|top40,ridge,ridge100,recent_class,40,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128
Q1,ridge|logit_newton|ridge100|recent_resid|top40,ridge,ridge100,recent_resid,40,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128
Q1,ridge|logit_newton|ridge0p3|uniform|top80,ridge,ridge0p3,uniform,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128
Q1,ridge|logit_newton|ridge0p3|subject_class|top80,ridge,ridge0p3,subject_class,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128
Q1,ridge|logit_newton|ridge0p3|recent_class|top80,ridge,ridge0p3,recent_class,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128
Q1,ridge|logit_newton|ridge0p3|recent_resid|top80,ridge,ridge0p3,recent_resid,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128
Q1,ridge|logit_newton|ridge1|uniform|top80,ridge,ridge1,uniform,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128
Q1,ridge|logit_newton|ridge1|subject_class|top80,ridge,ridge1,subject_class,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128
Q1,ridge|logit_newton|ridge1|recent_class|top80,ridge,ridge1,recent_class,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128
Q1,ridge|logit_newton|ridge1|recent_resid|top80,ridge,ridge1,recent_resid,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128
Q1,ridge|logit_newton|ridge3|uniform|top80,ridge,ridge3,uniform,80,0.0,0.5904248838716277,0.6185058715032128,0.0,0.0,0.6233982693683049,0.542826510063604,0.6312121035496189,0.5935222474440965,0.5701035275859473,0.6185058715032128
