target,fold,model,param_profile,weight_profile,top_k,features,stop_policy,stop_iteration,weight_min,weight_max,weight_std,delta_std_val
S1,1,ridge,ridge3,recent_class,40,40,closed_form_no_early_stopping,,0.06514811561820062,4.314037747986095,0.8277729130721647,1.4258087262385348
S1,2,ridge,ridge3,recent_class,40,40,closed_form_no_early_stopping,,0.06675728514687577,4.739624211021951,0.9132833435990586,0.8336168217582873
S1,3,ridge,ridge3,recent_class,40,40,closed_form_no_early_stopping,,0.07246392476536553,5.321032106912127,0.9105771347048713,0.7728730696952268
S1,4,ridge,ridge3,recent_class,40,40,closed_form_no_early_stopping,,0.08121953362720423,4.020149386792907,0.7856253263293838,0.7834351055787849
S1,0,ridge,ridge3,recent_resid,40,40,closed_form_no_early_stopping,,0.07343583673167768,5.467937241798939,0.9397771220536298,1.1228087674230198
S1,1,ridge,ridge3,recent_resid,40,40,closed_form_no_early_stopping,,0.054750114002857536,5.8671491028989395,1.0266541987789137,1.5555554767701725
S1,2,ridge,ridge3,recent_resid,40,40,closed_form_no_early_stopping,,0.059773209020969754,6.439600873253721,1.1443940466192672,0.842356624311976
S1,3,ridge,ridge3,recent_resid,40,40,closed_form_no_early_stopping,,0.06693946261022275,7.498138269501782,1.1805752384767991,0.9210672897087624
S1,4,ridge,ridge3,recent_resid,40,40,closed_form_no_early_stopping,,0.07850058234342976,4.8181086780583495,0.9822364153922437,0.7208254969637854
S1,0,ridge,ridge10,uniform,40,40,closed_form_no_early_stopping,,0.3054525678365808,1.5272558947020973,0.38861402844009213,0.8869178401489812
S1,1,ridge,ridge10,uniform,40,40,closed_form_no_early_stopping,,0.3178821858511081,1.5894037021866898,0.4172445305966492,1.1615605680409151
S1,2,ridge,ridge10,uniform,40,40,closed_form_no_early_stopping,,0.3210005193234873,1.6049952986531038,0.41551789833231845,0.6075649195338773
S1,3,ridge,ridge10,uniform,40,40,closed_form_no_early_stopping,,0.3111911278701845,1.5559485644036402,0.4023521793567252,0.4975621142602007
S1,4,ridge,ridge10,uniform,40,40,closed_form_no_early_stopping,,0.3090982212894733,1.5447796685392212,0.3917812161404023,0.8109937359994712
S1,0,ridge,ridge10,subject_class,40,40,closed_form_no_early_stopping,,0.10239267423513698,2.8149102228415264,0.6420768027243843,0.9067458388010599
S1,1,ridge,ridge10,subject_class,40,40,closed_form_no_early_stopping,,0.10847544034579602,2.900984173326107,0.658030827201325,1.148540825876843
S1,2,ridge,ridge10,subject_class,40,40,closed_form_no_early_stopping,,0.10720038252877098,2.9897638941020515,0.6868977891174738,0.6346081102338875
S1,3,ridge,ridge10,subject_class,40,40,closed_form_no_early_stopping,,0.1030904786419228,3.0572041348130163,0.6787801795789384,0.5828630783981231
S1,4,ridge,ridge10,subject_class,40,40,closed_form_no_early_stopping,,0.14460693546722908,2.7580599243965778,0.6222194924493925,0.7338155810921416
S1,0,ridge,ridge10,recent_class,40,40,closed_form_no_early_stopping,,0.1450534111664883,4.039726694758747,0.7607697688582332,0.9667437762049608
S1,1,ridge,ridge10,recent_class,40,40,closed_form_no_early_stopping,,0.06514811561820062,4.314037747986095,0.8277729130721647,1.274531272599063
S1,2,ridge,ridge10,recent_class,40,40,closed_form_no_early_stopping,,0.06675728514687577,4.739624211021951,0.9132833435990586,0.7454336740461438
S1,3,ridge,ridge10,recent_class,40,40,closed_form_no_early_stopping,,0.07246392476536553,5.321032106912127,0.9105771347048713,0.6679533411016654
S1,4,ridge,ridge10,recent_class,40,40,closed_form_no_early_stopping,,0.08121953362720423,4.020149386792907,0.7856253263293838,0.7313801580250477
S1,0,ridge,ridge10,recent_resid,40,40,closed_form_no_early_stopping,,0.07343583673167768,5.467937241798939,0.9397771220536298,1.0278970996379824
S1,1,ridge,ridge10,recent_resid,40,40,closed_form_no_early_stopping,,0.054750114002857536,5.8671491028989395,1.0266541987789137,1.357840611580865
