split,target,fold,subject_id,rows,emission_power,transition_blend,p00,p11,before_mean,after_mean,candidate
oof,S4,1,id08,11,1.5,0.45,0.51875,0.6192893401015228,0.6729541937099857,0.7983188167564849,targetwise_lastbest
oof,S4,1,id09,8,1.5,0.45,0.51875,0.6192893401015228,0.6036902986612156,0.7271740677961543,targetwise_lastbest
oof,S4,1,id10,7,1.5,0.45,0.51875,0.6192893401015228,0.5818389553475739,0.7062877656156058,targetwise_lastbest
oof,S4,2,id01,8,1.5,0.45,0.5414012738853503,0.6551724137931034,0.5198102696863711,0.49841152983741477,targetwise_lastbest
oof,S4,2,id02,9,1.5,0.45,0.5414012738853503,0.6551724137931034,0.6909572849538391,0.8375561533671262,targetwise_lastbest
oof,S4,2,id03,6,1.5,0.45,0.5414012738853503,0.6551724137931034,0.34676697373057647,0.21747260857284748,targetwise_lastbest
oof,S4,2,id04,12,1.5,0.45,0.5414012738853503,0.6551724137931034,0.5575773035195111,0.5808720406352395,targetwise_lastbest
oof,S4,2,id05,9,1.5,0.45,0.5414012738853503,0.6551724137931034,0.46259900901522805,0.4031196285299904,targetwise_lastbest
oof,S4,2,id06,9,1.5,0.45,0.5414012738853503,0.6551724137931034,0.7379297748946443,0.8811013534872872,targetwise_lastbest
oof,S4,2,id07,10,1.5,0.45,0.5414012738853503,0.6551724137931034,0.5481090338776905,0.5532963430413111,targetwise_lastbest
oof,S4,2,id08,11,1.5,0.45,0.5414012738853503,0.6551724137931034,0.5496932202796971,0.6483603166044429,targetwise_lastbest
oof,S4,2,id09,8,1.5,0.45,0.5414012738853503,0.6551724137931034,0.6084639961450491,0.7506735533338793,targetwise_lastbest
oof,S4,2,id10,6,1.5,0.45,0.5414012738853503,0.6551724137931034,0.633153230210617,0.7881639431783595,targetwise_lastbest
oof,S4,3,id01,8,1.5,0.45,0.5290322580645161,0.6485148514851485,0.5463693930356689,0.5332885718815426,targetwise_lastbest
oof,S4,3,id02,10,1.5,0.45,0.5290322580645161,0.6485148514851485,0.7322248834930976,0.8712265435870468,targetwise_lastbest
oof,S4,3,id03,7,1.5,0.45,0.5290322580645161,0.6485148514851485,0.3152283583014115,0.20486139712838186,targetwise_lastbest
oof,S4,3,id04,11,1.5,0.45,0.5290322580645161,0.6485148514851485,0.4494425751951281,0.39781754828293675,targetwise_lastbest
oof,S4,3,id05,9,1.5,0.45,0.5290322580645161,0.6485148514851485,0.43029537473774193,0.35194857498625837,targetwise_lastbest
oof,S4,3,id06,10,1.5,0.45,0.5290322580645161,0.6485148514851485,0.8364095081877918,0.9511003253557588,targetwise_lastbest
oof,S4,3,id07,10,1.5,0.45,0.5290322580645161,0.6485148514851485,0.49417667233275997,0.4704166637334075,targetwise_lastbest
oof,S4,3,id08,11,1.5,0.45,0.5290322580645161,0.6485148514851485,0.48482787690277646,0.546872054018576,targetwise_lastbest
