target,emission_power,transition_blend,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
S3,1.0,0.6,0.5806079930668278,0.6647103499292616,0.03905661854513964,0.06403132493868802
S3,0.5,1.0,0.5989610708533066,0.6659638890213694,0.05740969633161852,0.06528486403079581
S3,1.5,0.15,0.575449650274844,0.6669571409984955,0.03389827575315585,0.06627811600792188
S3,0.8,0.8,0.5877519975038198,0.6686305471965491,0.04620062298213168,0.06795152220597556
S3,1.25,0.45,0.5818564500496662,0.6755651983289391,0.04030507552797813,0.07488617333836556
S3,0.65,1.0,0.6002583220914173,0.6818437651434683,0.05870694756972916,0.08116474015289477
S3,1.5,0.3,0.5856767508686332,0.6878602360041238,0.04412537634694513,0.08718121101355025
S3,1.0,0.8,0.5966118634987871,0.6952055154618082,0.05506048897709903,0.09452649047123463
S3,1.25,0.6,0.5939461617610199,0.6985542385676353,0.052394787239331775,0.09787521357706175
S3,0.8,1.0,0.6061536801699094,0.7022362961908227,0.06460230564822134,0.10155727120024916
S3,1.5,0.45,0.5984391209194626,0.7117110049883086,0.0568877463977745,0.11103197999773506
S3,1.0,1.0,0.6194847319266165,0.7345658469186785,0.07793335740492835,0.13388682192810497
S3,1.25,0.8,0.6149855003399307,0.735351529552282,0.0734341258182426,0.13467250456170843
S3,1.5,0.6,0.6139160766795259,0.7388317042550893,0.07236470215783775,0.1381526792645157
S3,1.25,1.0,0.6426581979252968,0.780820374614132,0.10110682340360866,0.18014134962355843
S3,1.5,0.8,0.6392708719582517,0.7809340255661236,0.09771949743656361,0.18025500057555
S3,1.5,1.0,0.6710214077454905,0.831525142368841,0.12947003322380235,0.23084611737826743
S4,1.5,0.45,0.7170842737836824,0.5510263026028728,0.08628523617905748,-0.037628082038117405
S4,1.5,0.6,0.722133138651624,0.5511646902817746,0.09133410104699902,-0.037489694359215564
S4,1.5,0.3,0.7127710830444386,0.5513224674311976,0.08197204543981362,-0.037331917209792564
S4,1.5,0.15,0.7091517469702474,0.5520429040535438,0.07835270936562244,-0.03661148058744634
S4,1.5,0.8,0.730094240799874,0.5520471899377555,0.09929520319524898,-0.0366071947032347
S4,1.5,1.0,0.7395886833309697,0.5537620459837637,0.10878964572634475,-0.03489233865722652
S4,1.25,0.6,0.7128345314038542,0.5544527026813796,0.08203549379922925,-0.0342016819596106
S4,1.25,0.8,0.7189187676362002,0.5546800027869718,0.08811973003157525,-0.033974381854018354
S4,1.25,0.45,0.7091571333914897,0.5548191123011308,0.0783580957868647,-0.03383527233985939
S4,1.25,0.3,0.7061801596740236,0.5556262965832556,0.07538112206939862,-0.033028088057734606
S4,1.25,1.0,0.7264888570680975,0.5557705380228039,0.09568981946347255,-0.03288384661818633
S4,1.25,0.15,0.703857755759771,0.5568593019055863,0.07305871815514609,-0.03179508273540388
S4,1.0,0.8,0.7120016671958567,0.5617526354206788,0.0812026295912317,-0.02690174922031141
S4,1.0,0.6,0.7078330746548294,0.5621120049242472,0.0770340370502044,-0.026542379716743003
S4,1.0,1.0,0.7175704140989256,0.5622728299830319,0.08677137649430067,-0.026381554657958328
S4,1.0,0.45,0.7055301540222586,0.5629213597550117,0.07473111641763364,-0.025733024885978506
S4,1.0,0.3,0.7038696886472866,0.5641683212107942,0.07307065104266164,-0.024486063430195992
S4,1.0,0.15,0.7028017987397218,0.565833111931671,0.07200276113509685,-0.022821272709319218
S4,0.8,0.8,0.7102265524895711,0.5710806116174053,0.07942751488494615,-0.01757377302358487
S4,0.8,1.0,0.7141975997797473,0.5712283179553372,0.08339856217512231,-0.01742606668565294
S4,0.8,0.6,0.7075505048013282,0.5718127896958314,0.07675146719670323,-0.0168415949451588
S4,0.8,0.45,0.7062939019258382,0.5728958709079311,0.07549486432121322,-0.015758513733059032
S4,0.8,0.3,0.7056143587267694,0.5744072752186233,0.0748153211221444,-0.014247109422366844
S4,0.8,0.15,0.7054599060655344,0.5763238056997332,0.07466086846090947,-0.012330578941256998
S4,0.65,1.0,0.7143306725334586,0.580402448933408,0.08353163492883364,-0.008251935707582203
S4,0.65,0.8,0.7115037605800204,0.5804568677065397,0.08070472297539544,-0.008197516934450477
S4,0.65,0.6,0.7098685697915754,0.581383765196024,0.07906953218695045,-0.007270619444966209
S4,0.65,0.45,0.7093234545148365,0.5826040623019275,0.0785244169102115,-0.006050322339062664
S4,0.65,0.3,0.7092955525009113,0.5842424864495367,0.07849651489628628,-0.004411898191453489
S4,0.65,0.15,0.7097327819682606,0.5862738226326666,0.07893374436363565,-0.0023805620083235945
S4,0.5,1.0,0.7171421348682725,0.5918690002024636,0.08634309726364753,0.0032146155614733996
S4,0.5,0.8,0.7153548898846831,0.5920362389736257,0.08455585228005813,0.003381854332635492
S4,0.5,0.6,0.714636132631092,0.593062762321184,0.08383709502646708,0.0044083776801938646
S4,0.5,0.45,0.7146987256228641,0.5943460697419161,0.0838996880182391,0.005691685100925881
S4,0.5,0.3,0.7152117783895379,0.596035548844546,0.0844127407849129,0.0073811642035558345
