target,fold,model,param_profile,weight_profile,top_k,features,weight_min,weight_max,weight_std,delta_std_val
Q2,0,ridge,ridge1,uniform,80,80,1.0,1.0,0.0,0.2727336985577792
Q2,1,ridge,ridge1,uniform,80,80,1.0,1.0,0.0,0.3182540523195815
Q2,2,ridge,ridge1,uniform,80,80,1.0,1.0,0.0,0.3203516798378905
Q2,3,ridge,ridge1,uniform,80,80,1.0,1.0,0.0,0.24485735154480784
Q2,4,ridge,ridge1,uniform,80,80,1.0,1.0,0.0,1.223458371641752
Q2,0,ridge,ridge1,subject_class,80,80,0.6944947170525303,1.6015586836136328,0.22920391587672992,0.27991455072271004
Q2,1,ridge,ridge1,subject_class,80,80,0.7064029969484682,1.556954038069732,0.2088245410145694,0.3167357244289968
Q2,2,ridge,ridge1,subject_class,80,80,0.7611092951969975,1.4232779923399739,0.1831577748808994,0.3249191416753593
Q2,3,ridge,ridge1,subject_class,80,80,0.6903658060239651,1.6072749544068028,0.22935723472736116,0.256399528440468
Q2,4,ridge,ridge1,subject_class,80,80,0.7531888587965279,1.4320774518465347,0.1825327141307405,1.275518266849912
Q2,0,ridge,ridge1,recent_class,80,80,0.37343452016961265,2.4930388095277483,0.4198599727096614,0.28722018420115025
Q2,1,ridge,ridge1,recent_class,80,80,0.2786021224026623,2.625933654531812,0.47986961804952605,0.3306173229065387
Q2,2,ridge,ridge1,recent_class,80,80,0.31892883442194425,2.6731519165622135,0.5206801920402029,0.36255876097648615
Q2,3,ridge,ridge1,recent_class,80,80,0.31875489502607407,3.07487519703036,0.551869692444577,0.2592369431682605
Q2,4,ridge,ridge1,recent_class,80,80,0.3852755171778563,2.451898783989217,0.416811083883251,0.9953727851401011
Q2,0,ridge,ridge1,recent_resid,80,80,0.19748574549559283,3.1067171930031106,0.5692137476718786,0.2979668183289069
Q2,1,ridge,ridge1,recent_resid,80,80,0.1580625942308832,3.266252256803107,0.6358221550601525,0.35717461732029643
Q2,2,ridge,ridge1,recent_resid,80,80,0.18289949084030468,3.3610180494330395,0.7242320486803632,0.3940561924066158
Q2,3,ridge,ridge1,recent_resid,80,80,0.19349088632993516,4.056726180846679,0.7943381593091658,0.2758200796965185
Q2,4,ridge,ridge1,recent_resid,80,80,0.24662797832864475,3.3499415033179236,0.5981037951475735,0.7741027579118801
Q2,0,ridge,ridge10,uniform,80,80,1.0,1.0,0.0,0.25261125666777984
Q2,1,ridge,ridge10,uniform,80,80,1.0,1.0,0.0,0.30777785050080037
Q2,2,ridge,ridge10,uniform,80,80,1.0,1.0,0.0,0.3149203822305655
Q2,3,ridge,ridge10,uniform,80,80,1.0,1.0,0.0,0.21294981472940952
Q2,4,ridge,ridge10,uniform,80,80,1.0,1.0,0.0,0.8963946533122852
Q2,0,ridge,ridge10,subject_class,80,80,0.6944947170525303,1.6015586836136328,0.22920391587672992,0.2549930560174605
Q2,1,ridge,ridge10,subject_class,80,80,0.7064029969484682,1.556954038069732,0.2088245410145694,0.3015722152390838
Q2,2,ridge,ridge10,subject_class,80,80,0.7611092951969975,1.4232779923399739,0.1831577748808994,0.3198572044193574
Q2,3,ridge,ridge10,subject_class,80,80,0.6903658060239651,1.6072749544068028,0.22935723472736116,0.2243072734425763
Q2,4,ridge,ridge10,subject_class,80,80,0.7531888587965279,1.4320774518465347,0.1825327141307405,0.9162068505875327
Q2,0,ridge,ridge10,recent_class,80,80,0.37343452016961265,2.4930388095277483,0.4198599727096614,0.26474871715293385
Q2,1,ridge,ridge10,recent_class,80,80,0.2786021224026623,2.625933654531812,0.47986961804952605,0.32087629619954255
Q2,2,ridge,ridge10,recent_class,80,80,0.31892883442194425,2.6731519165622135,0.5206801920402029,0.3525287811153647
Q2,3,ridge,ridge10,recent_class,80,80,0.31875489502607407,3.07487519703036,0.551869692444577,0.24009792199500735
Q2,4,ridge,ridge10,recent_class,80,80,0.3852755171778563,2.451898783989217,0.416811083883251,0.7700174662995527
Q2,0,ridge,ridge10,recent_resid,80,80,0.19748574549559283,3.1067171930031106,0.5692137476718786,0.2775646127464331
Q2,1,ridge,ridge10,recent_resid,80,80,0.1580625942308832,3.266252256803107,0.6358221550601525,0.35564455966008346
Q2,2,ridge,ridge10,recent_resid,80,80,0.18289949084030468,3.3610180494330395,0.7242320486803632,0.3827163492700609
Q2,3,ridge,ridge10,recent_resid,80,80,0.19349088632993516,4.056726180846679,0.7943381593091658,0.25668885856175794
Q2,4,ridge,ridge10,recent_resid,80,80,0.24662797832864475,3.3499415033179236,0.5981037951475735,0.6612554047507554
Q2,0,ridge,ridge30,uniform,80,80,1.0,1.0,0.0,0.23277164427436653
