split,target,fold,subject_id,rows,drift,before_mean,after_mean
test,Q2,-1,id06,24,0.575,0.5437680436647856,0.5537237017307595
test,Q2,-1,id07,30,-0.3257575757575758,0.5106989744058059,0.5025478787231383
test,Q2,-1,id08,19,-0.40625,0.7213376580915749,0.7125210079343282
test,Q2,-1,id09,27,0.23214285714285715,0.5613753062926141,0.5684616434439471
test,Q2,-1,id10,22,0.03409090909090906,0.5508177000928933,0.5508177000928933
oof,Q3,0,id01,9,0.03125,0.6402088015923192,0.6402088015923192
oof,Q3,0,id02,10,-0.13815789473684215,0.634765156438063,0.6309174572364603
oof,Q3,0,id03,7,-0.14423076923076927,0.6441677906324887,0.6384803177688771
oof,Q3,0,id04,12,-0.02777777777777779,0.6483199976546804,0.6483199976546804
oof,Q3,0,id05,9,-0.06071428571428572,0.642341673715687,0.6404925899862474
oof,Q3,0,id06,10,0.26973684210526316,0.6360190237679666,0.6428456588593753
oof,Q3,0,id07,10,0.11217948717948723,0.6238696014832995,0.6268377226585568
oof,Q3,0,id08,12,-0.07954545454545453,0.6388934392151094,0.6352615571394334
oof,Q3,0,id09,9,0.4375,0.6229307867186393,0.6315362803897356
oof,Q3,0,id10,7,-0.28846153846153844,0.6284684462834108,0.6167877570331692
oof,Q3,1,id01,8,0.06944444444444442,0.6206766055985681,0.6226063407783701
oof,Q3,1,id02,10,0.025000000000000022,0.7328821426627014,0.7328821426627014
oof,Q3,1,id03,7,0.0,0.5623719355236136,0.5623719355236136
oof,Q3,1,id04,11,0.0,0.5816493939495512,0.5816493939495512
oof,Q3,1,id05,9,-0.04166666666666663,0.6229935186077857,0.6229935186077857
oof,Q3,1,id06,10,0.024999999999999994,0.6122647543575963,0.6122647543575963
oof,Q3,1,id07,10,0.0,0.6098514861853828,0.6098514861853828
oof,Q3,1,id08,11,-0.041666666666666685,0.6038473835823837,0.6038473835823837
oof,Q3,1,id09,8,0.05555555555555558,0.4435617103610521,0.4455868459073483
oof,Q3,1,id10,7,0.0,0.7286819125423938,0.7286819125423938
oof,Q3,2,id01,8,0.03676470588235292,0.6281377020710891,0.6281377020710891
oof,Q3,2,id02,9,-0.025000000000000022,0.5732585966038475,0.5732585966038475
oof,Q3,2,id03,6,0.0357142857142857,0.7511871109671237,0.7511871109671237
oof,Q3,2,id04,12,-0.11413043478260865,0.7422615796003015,0.7376018152298102
oof,Q3,2,id05,9,0.1527777777777778,0.7381272546522432,0.7407087486616882
oof,Q3,2,id06,9,-0.05,0.4406620505659401,0.4394250605801661
oof,Q3,2,id07,10,-0.2,0.4404770981561307,0.4359232870309853
oof,Q3,2,id08,11,0.3913043478260869,0.6942506826451755,0.7048691732976011
oof,Q3,2,id09,8,0.02941176470588236,0.428278625669107,0.428278625669107
oof,Q3,2,id10,6,-0.1607142857142857,0.4385718697564917,0.4326424485474256
oof,Q3,3,id01,8,-0.06000000000000005,0.7335852815311494,0.7316448848540662
oof,Q3,3,id02,10,0.27586206896551724,0.7442665536704774,0.7485976103244282
oof,Q3,3,id03,7,0.125,0.5682299382655531,0.5730287628147811
oof,Q3,3,id04,11,-0.0892857142857143,0.7424531214398986,0.7385407139704833
