source,target,full_logloss,last_logloss,mean_pred,mean_y,fold,fold_logloss,fold_mean_pred,fold_mean_y
q2_big_probe,S4,,,,,1.0,0.5885717913278966,0.5875273878358039,0.5824175824175825
q2_big_probe,S4,,,,,2.0,0.6455844041727885,0.587859722268438,0.5340909090909091
q2_big_probe,S4,,,,,3.0,0.6635249814130476,0.5744308923528674,0.5274725274725275
q2_big_probe,S4,,,,,4.0,0.5768788577062515,0.5335057404196905,0.5411764705882353
q2_micro_probe,Q1,0.5845562623298485,0.603239911067091,0.4861177494341899,0.4955555555555556,,,,
q2_micro_probe,Q1,,,,,0.0,0.5323076641878073,0.4910954872249923,0.45263157894736844
q2_micro_probe,Q1,,,,,1.0,0.6268605949918304,0.46933432842841427,0.5164835164835165
q2_micro_probe,Q1,,,,,2.0,0.5844767451271372,0.46184305238565904,0.4772727272727273
q2_micro_probe,Q1,,,,,3.0,0.5794223054334365,0.5311923432399309,0.45054945054945056
q2_micro_probe,Q1,,,,,4.0,0.603239911067091,0.47539764973239723,0.5882352941176471
q2_micro_probe,Q2,0.6931734713981327,0.6143235913026686,0.5733865013209677,0.5622222222222222,,,,
q2_micro_probe,Q2,,,,,0.0,0.7287724140536129,0.5949637111461852,0.4631578947368421
q2_micro_probe,Q2,,,,,1.0,0.6337296767640896,0.54635556775039,0.5384615384615384
q2_micro_probe,Q2,,,,,2.0,0.7719714634998163,0.5283125055962107,0.6704545454545454
q2_micro_probe,Q2,,,,,3.0,0.7129042654925675,0.6197023663737651,0.4725274725274725
q2_micro_probe,Q2,,,,,4.0,0.6143235913026686,0.5752894180915674,0.6823529411764706
q2_micro_probe,Q3,0.6654827078919677,0.6224188673133506,0.6156610103000738,0.6,,,,
q2_micro_probe,Q3,,,,,0.0,0.6992055504233332,0.6239735112987341,0.5473684210526316
q2_micro_probe,Q3,,,,,1.0,0.6800816300404351,0.6003317022210425,0.5934065934065934
q2_micro_probe,Q3,,,,,2.0,0.7064227289790792,0.5905049018967534,0.6022727272727273
q2_micro_probe,Q3,,,,,3.0,0.6163127368757737,0.6281363222672884,0.6153846153846154
q2_micro_probe,Q3,,,,,4.0,0.6224188673133506,0.6354699937211893,0.6470588235294118
q2_micro_probe,S1,0.4888442898813237,0.4309734248447679,0.7169482427018701,0.6822222222222222,,,,
q2_micro_probe,S1,,,,,0.0,0.470478165353136,0.730426297901467,0.6947368421052632
q2_micro_probe,S1,,,,,1.0,0.4862291390835621,0.7076869913623949,0.7252747252747253
q2_micro_probe,S1,,,,,2.0,0.5290528261383755,0.6953353421812065,0.6363636363636364
q2_micro_probe,S1,,,,,3.0,0.5258050908732016,0.736813103450629,0.6153846153846154
q2_micro_probe,S1,,,,,4.0,0.4309734248447679,0.7129081432384807,0.7411764705882353
q2_micro_probe,S2,0.562622011559896,0.5684210565200837,0.627850784857016,0.6511111111111111,,,,
q2_micro_probe,S2,,,,,0.0,0.5907407713373016,0.6484210234072785,0.6631578947368421
q2_micro_probe,S2,,,,,1.0,0.5314445080885555,0.6310597661382457,0.6813186813186813
q2_micro_probe,S2,,,,,2.0,0.5328716846895758,0.6247310359531201,0.6590909090909091
q2_micro_probe,S2,,,,,3.0,0.587797622329244,0.6039401696397857,0.6813186813186813
q2_micro_probe,S2,,,,,4.0,0.5684210565200837,0.6302533016740037,0.5647058823529412
q2_micro_probe,S3,0.5294421568160732,0.577938298805045,0.6447828946406089,0.6622222222222223,,,,
q2_micro_probe,S3,,,,,0.0,0.5041729096195547,0.6397586560547841,0.7157894736842105
q2_micro_probe,S3,,,,,1.0,0.5282676873897062,0.647462023974986,0.6813186813186813
q2_micro_probe,S3,,,,,2.0,0.5570493133066392,0.653391822496297,0.6136363636363636
q2_micro_probe,S3,,,,,3.0,0.4850009849615262,0.6377835892401356,0.6593406593406593
q2_micro_probe,S3,,,,,4.0,0.577938298805045,0.6461105774214035,0.6352941176470588
q2_micro_probe,S4,0.6249253249350655,0.5743035918540645,0.5778933825390781,0.56,,,,
q2_micro_probe,S4,,,,,0.0,0.6491064777445684,0.5902043037473729,0.6105263157894737
q2_micro_probe,S4,,,,,1.0,0.5873598373170781,0.5913055067057076,0.5824175824175825
q2_micro_probe,S4,,,,,2.0,0.645325600214477,0.5922004029420701,0.5340909090909091
q2_micro_probe,S4,,,,,3.0,0.66480304959035,0.5773884315116816,0.5274725274725275
q2_micro_probe,S4,,,,,4.0,0.5743035918540645,0.5355038758811784,0.5411764705882353
