source,target,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,test_abs_delta_mean,test_mean_delta,test_up_rate,test_down_rate,public_risk,rank_score,kept_for_target
residual_single_model_opt_ridge_logit_newton/ridge_residual_composite,Q2,0.6940407398314826,0.636451957923523,0.0011608832075601372,-0.0016324113768783066,0.012878869122218762,-0.0057156643993996215,0.432,0.568,0.006367057544938406,0.6759947765738005,False
residual_single_model_opt_ridge_logit_te_full/ridge_residual_composite,Q2,0.6943304631474775,0.6338739480475895,0.001450606523554998,-0.004210421252811902,0.014381174105672922,-0.00627961618401824,0.396,0.604,0.007099489965954639,0.678060310462734,True
residual_submission_blend_ridge_logit_te_full/ridge_knn_blend_last,Q2,0.6943304631474775,0.6338739480475895,0.001450606523554998,-0.004210421252811902,0.014381174105672922,-0.00627961618401824,0.396,0.604,0.007099489965954639,0.678060310462734,False
residual_single_model_opt_ridge/ridge_residual_full,Q2,0.6917589050504359,0.6478792162217163,-0.0011209515734865727,0.009794846921314937,0.010160428595694392,-0.00454684915272659,0.376,0.624,0.005026877783335135,0.6785485043515118,True
constrained_target_blend_logit_newton/full,Q2,0.6910087403127634,0.6471352824579595,-0.0018711163111591045,0.009050913157558127,0.012288288728107359,-0.004851516405045566,0.392,0.608,0.006014881568152868,0.6838389863032821,True
residual_submission_blend_ridge_logit_newton/ridge_knn_blend_full,Q2,0.6910087403127634,0.6471352824579595,-0.0018711163111591045,0.009050913157558127,0.012288288728107359,-0.004851516405045566,0.392,0.608,0.006014881568152868,0.6838389863032821,False
residual_single_model_opt_hist_gb/hist_gb_residual_composite,Q2,0.7011578840692232,0.6248752672440445,0.008278027445300706,-0.013209102056356836,0.021546394082859497,0.0056658750312809595,0.652,0.348,0.009129289834158678,0.6856951424203199,True
residual_single_model_opt_ridge_logit_te_full/ridge_residual_last,Q2,0.6978839754840117,0.632952479765453,0.005004118860089224,-0.005131889534948364,0.02073105903139865,-0.00539358802144171,0.5,0.5,0.009868335366273562,0.6962015162307178,True
residual_single_model_opt_ridge_logit_newton/ridge_residual_full,Q2,0.6911827255634775,0.6511152110271726,-0.0016971310604450007,0.01303084172677127,0.0153603609101342,-0.006064395506306983,0.392,0.608,0.007518601960191089,0.6969948408338259,True
constrained_target_blend_logit_newton/last,Q2,0.6987415814488945,0.6356930614589933,0.005861724824972048,-0.0023913078414080635,0.02087648803477797,-0.007792489278268182,0.436,0.564,0.010173668543476904,0.7012959320165768,True
