target,source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,tail3_worst,tail3_worst_delta_vs_anchor,fold_std,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss,selection_mode,selector_last_guard,selector_full_cap,selector_alpha,selector_tail_guard,candidate,selector_score
Q1,ridge_residual_full,0.5879679030351407,0.606532805999241,-0.002456980836487044,-0.011973065503971814,0.606532805999241,-0.011973065503971814,0.03118485466438757,0.6090954778720524,0.5344377418210166,0.6279702835911902,0.5925123364637841,0.582113197442527,0.606532805999241,positive_last_penalty,0.0,0.004,0.5,,positive_last_penalty_a0p5,-0.002456980836487044
Q2,arith:ridge_residual_full:0.20+ridge_residual_composite:0.35+knn_targetwise_guarded:0.45,0.6922461141334341,0.6389103160416373,-0.0006337424904884204,0.0008259467412359278,0.7954117960417757,-0.002106683994337444,0.06004062315690225,0.6566248447839951,0.7116972548416148,0.62804528404814,0.7954117960417757,0.6861953449065465,0.6389103160416373,positive_last_penalty,0.0,0.004,0.5,,positive_last_penalty_a0p5,-0.00022076911987045644
Q3,anchor,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6955517920765923,0.0,0.032781320352747036,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,positive_last_penalty,0.0,0.004,0.5,,positive_last_penalty_a0p5,0.0
S1,arith:ridge_residual_composite:0.35+ridge_residual_full:0.65,0.48978028137258534,0.44976586891105347,-0.002571871841266671,0.00022140289407729385,0.5241554196833467,-0.0048974064550287855,0.029167321921593943,0.4550435250057787,0.46539285643656186,0.489774040928052,0.5241554196833467,0.5193801290347609,0.44976586891105347,positive_last_penalty,0.0,0.004,0.5,,positive_last_penalty_a0p5,-0.002461170394228024
S2,ridge_residual_full,0.5523303237543977,0.5924888746662645,-0.0077900819353105,-0.030326448229168856,0.5924888746662645,-0.030326448229168856,0.026461005106169232,0.5997704406155724,0.5718257411801718,0.5225637811533103,0.527765274225347,0.5479889858675647,0.5924888746662645,positive_last_penalty,0.0,0.004,0.5,,positive_last_penalty_a0p5,-0.0077900819353105
S3,ridge_residual_full,0.5077276302852942,0.6061629831879853,-0.03382374423639389,0.005483958197411765,0.6061629831879853,0.005483958197411765,0.05726520380813056,0.6213735179888792,0.47125714361397214,0.4861809776849146,0.5392001640813648,0.44496778028119754,0.6061629831879853,positive_last_penalty,0.0,0.004,0.5,,positive_last_penalty_a0p5,-0.03108176513768801
S4,ridge_residual_full,0.6226433776469414,0.5839384495097777,-0.008155659957683525,-0.00471593513121249,0.663143049599433,0.002933271525129455,0.03859878919372653,0.5907718293769757,0.6548408438339655,0.5680474978799893,0.6398469516811186,0.663143049599433,0.5839384495097777,positive_last_penalty,0.0,0.004,0.5,,positive_last_penalty_a0p5,-0.008155659957683525
Q1,ridge_residual_full,0.5879679030351407,0.606532805999241,-0.002456980836487044,-0.011973065503971814,0.606532805999241,-0.011973065503971814,0.03118485466438757,0.6090954778720524,0.5344377418210166,0.6279702835911902,0.5925123364637841,0.582113197442527,0.606532805999241,positive_last_penalty,0.0,0.004,0.75,,positive_last_penalty_a0p75,-0.002456980836487044
Q2,arith:ridge_residual_full:0.20+ridge_residual_composite:0.50+knn_targetwise_guarded:0.30,0.6924135834163222,0.6386353865228667,-0.00046627320760028734,0.0005510172224653109,0.7950427211140236,-0.0024757589220895104,0.0601942640430293,0.6562194835784876,0.7125440249140765,0.6271098930745185,0.7950427211140236,0.6876885998708661,0.6386353865228667,positive_last_penalty,0.0,0.004,0.75,,positive_last_penalty_a0p75,-5.3010290751304145e-05
Q3,anchor,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6955517920765923,0.0,0.032781320352747036,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,positive_last_penalty,0.0,0.004,0.75,,positive_last_penalty_a0p75,0.0
S1,arith:ridge_residual_composite:0.35+ridge_residual_full:0.65,0.48978028137258534,0.44976586891105347,-0.002571871841266671,0.00022140289407729385,0.5241554196833467,-0.0048974064550287855,0.029167321921593943,0.4550435250057787,0.46539285643656186,0.489774040928052,0.5241554196833467,0.5193801290347609,0.44976586891105347,positive_last_penalty,0.0,0.004,0.75,,positive_last_penalty_a0p75,-0.0024058196707087004
S2,ridge_residual_full,0.5523303237543977,0.5924888746662645,-0.0077900819353105,-0.030326448229168856,0.5924888746662645,-0.030326448229168856,0.026461005106169232,0.5997704406155724,0.5718257411801718,0.5225637811533103,0.527765274225347,0.5479889858675647,0.5924888746662645,positive_last_penalty,0.0,0.004,0.75,,positive_last_penalty_a0p75,-0.0077900819353105
S3,arith:ridge_residual_composite:0.20+ridge_residual_full:0.80,0.5116538172050854,0.6006815799681327,-0.029897557316602708,2.5549775590771873e-06,0.6006815799681327,2.5549775590771873e-06,0.05307116382142542,0.6142641692580609,0.4753800648631109,0.4931318158948513,0.5445437122926502,0.4530806082946914,0.6006815799681327,positive_last_penalty,0.0,0.004,0.75,,positive_last_penalty_a0p75,-0.0298956410834334
S4,ridge_residual_full,0.6226433776469414,0.5839384495097777,-0.008155659957683525,-0.00471593513121249,0.663143049599433,0.002933271525129455,0.03859878919372653,0.5907718293769757,0.6548408438339655,0.5680474978799893,0.6398469516811186,0.663143049599433,0.5839384495097777,positive_last_penalty,0.0,0.004,0.75,,positive_last_penalty_a0p75,-0.008155659957683525
Q1,ridge_residual_full,0.5879679030351407,0.606532805999241,-0.002456980836487044,-0.011973065503971814,0.606532805999241,-0.011973065503971814,0.03118485466438757,0.6090954778720524,0.5344377418210166,0.6279702835911902,0.5925123364637841,0.582113197442527,0.606532805999241,positive_last_penalty,0.0,0.004,1.0,,positive_last_penalty_a1,-0.002456980836487044
Q2,arith:anchor:0.80+ridge_residual_composite:0.20,0.6928603523911178,0.637620629906511,-1.9504232804723465e-05,-0.0004637393938903278,0.7967354109847794,-0.0007830690513337402,0.060262610627474414,0.65562225984655,0.7124854383748237,0.6305541715615002,0.7967354109847794,0.6858257429624638,0.637620629906511,positive_last_penalty,0.0,0.004,1.0,,positive_last_penalty_a1,-1.9504232804723465e-05
Q3,anchor,0.6626805461282007,0.6346920082407534,0.0,0.0,0.6955517920765923,0.0,0.032781320352747036,0.6442038137020795,0.6945061214538464,0.6727576578357087,0.6955517920765923,0.613734493992541,0.6346920082407534,positive_last_penalty,0.0,0.004,1.0,,positive_last_penalty_a1,0.0
