target,source,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,tail3_worst,tail3_worst_delta_vs_anchor,fold_std,rank_score,fold0_logloss,fold1_logloss,fold2_logloss,fold3_logloss,fold4_logloss
Q1,arith:ridge_residual_composite:0.20+knn_targetwise_guarded:0.80,0.5891638990714255,0.6125229058307379,-0.0012609848002022028,-0.005982965672474916,0.6125229058307379,-0.005982965672474916,0.031088390979436772,0.6163872913907309,0.5401699782125339,0.6298588243961322,0.5927586451712703,0.5743213830903106,0.6125229058307379
Q1,arith:anchor:0.35+ridge_residual_composite:0.20+knn_targetwise_guarded:0.45,0.5891638990714255,0.6125229058307379,-0.0012609848002022028,-0.005982965672474916,0.6125229058307379,-0.005982965672474916,0.0310883909794368,0.6163872913907309,0.5401699782125339,0.6298588243961323,0.5927586451712703,0.5743213830903106,0.6125229058307379
Q1,arith:ridge_residual_composite:0.80+ridge_residual_full:0.20,0.5892488389990591,0.5996789111796437,-0.0011760448725686157,-0.01882696032356912,0.5996789111796437,-0.01882696032356912,0.03154877221371983,0.6005982884839068,0.5334226729476892,0.6308155225426636,0.5922360654939657,0.5933310973013741,0.5996789111796437
Q1,logit:ridge_residual_composite:0.80+ridge_residual_full:0.20,0.5892512766796913,0.599612229203973,-0.0011736071919363766,-0.018893642299239843,0.599612229203973,-0.018893642299239843,0.031512197715995144,0.6005218719706511,0.5335001145770412,0.6307955608136483,0.5922117446482648,0.5933680722595084,0.599612229203973
Q1,logit:anchor:0.80+ridge_residual_last:0.20,0.5893306766908935,0.6093267809484378,-0.0010942071807342746,-0.009179090554774949,0.6093267809484378,-0.009179090554774949,0.030123398106910056,0.6125941034557235,0.541162087551958,0.6300629879071387,0.592560332290532,0.5770833919970593,0.6093267809484378
Q1,logit:ridge_residual_last:0.20+knn_targetwise_guarded:0.80,0.5893306766908935,0.6093267809484378,-0.0010942071807342746,-0.009179090554774949,0.6093267809484378,-0.009179090554774949,0.030123398106910053,0.6125941034557235,0.541162087551958,0.6300629879071387,0.5925603322905318,0.5770833919970593,0.6093267809484378
Q1,arith:ridge_residual_last:0.20+knn_targetwise_guarded:0.80,0.5893873090620553,0.6099323787853153,-0.0010375748095724502,-0.008573492717897535,0.6099323787853153,-0.008573492717897535,0.03059286357476305,0.6132804514307368,0.5404153244246489,0.6305623267066676,0.5927214824674152,0.5769221854218914,0.6099323787853153
Q1,arith:anchor:0.80+ridge_residual_last:0.20,0.5893873090620553,0.6099323787853154,-0.0010375748095724502,-0.008573492717897424,0.6099323787853154,-0.008573492717897424,0.030592863574763065,0.613280451430737,0.5404153244246489,0.6305623267066676,0.5927214824674152,0.5769221854218914,0.6099323787853154
Q1,logit:anchor:0.65+ridge_residual_last:0.35,0.5894009980451388,0.6040511396855559,-0.001023885826488935,-0.014454731817656885,0.6040511396855559,-0.014454731817656885,0.02954228731956999,0.6062364190535144,0.5403081946663759,0.6305410917365719,0.5922722266004762,0.5830508622512584,0.6040511396855559
Q1,logit:ridge_residual_last:0.35+knn_targetwise_guarded:0.65,0.5894009980451388,0.6040511396855559,-0.001023885826488935,-0.014454731817656885,0.6040511396855559,-0.014454731817656885,0.02954228731956999,0.6062364190535144,0.5403081946663759,0.6305410917365719,0.5922722266004762,0.5830508622512584,0.6040511396855559
Q1,arith:anchor:0.65+ridge_residual_last:0.35,0.589427340311431,0.6049861919565955,-0.0009975435601967675,-0.013519679546617258,0.6049861919565955,-0.013519679546617258,0.030187381018561554,0.6073022122873274,0.539164793674137,0.6310903695632977,0.5925071300404338,0.5827249489117802,0.6049861919565955
Q1,arith:ridge_residual_last:0.35+knn_targetwise_guarded:0.65,0.589427340311431,0.6049861919565955,-0.0009975435601967675,-0.013519679546617258,0.6049861919565955,-0.013519679546617258,0.030187381018561554,0.6073022122873274,0.539164793674137,0.6310903695632977,0.5925071300404338,0.5827249489117802,0.6049861919565955
Q1,arith:anchor:0.80+ridge_residual_full:0.20,0.5895854156954773,0.6155191675614128,-0.0008394681761504375,-0.0029867039418000063,0.6155191675614128,-0.0029867039418000063,0.031600097325582915,0.61989766745698,0.5409261893749926,0.6300877178185754,0.5931662101992737,0.5721946264900434,0.6155191675614128
Q1,arith:ridge_residual_full:0.20+knn_targetwise_guarded:0.80,0.5895854156954773,0.6155191675614128,-0.0008394681761504375,-0.0029867039418000063,0.6155191675614128,-0.0029867039418000063,0.03160009732558294,0.61989766745698,0.5409261893749926,0.6300877178185755,0.5931662101992738,0.5721946264900434,0.6155191675614128
Q1,logit:anchor:0.80+ridge_residual_full:0.20,0.5895917161623742,0.615534123031658,-0.0008331677092535683,-0.0029717484715547915,0.615534123031658,-0.0029717484715547915,0.031565188021439906,0.619914445644141,0.5409991604028501,0.6300264616053646,0.5931754849013046,0.5721879219747659,0.615534123031658
Q1,logit:ridge_residual_full:0.20+knn_targetwise_guarded:0.80,0.5895917161623742,0.615534123031658,-0.0008331677092535683,-0.0029717484715547915,0.615534123031658,-0.0029717484715547915,0.031565188021439934,0.619914445644141,0.5409991604028501,0.6300264616053647,0.5931754849013046,0.5721879219747659,0.615534123031658
