split,target,fold,subject_id,rows,emission_power,transition_blend,p00,p11,before_mean,after_mean,source
oof,Q1,3,id03,7,0.5,0.45,0.5955056179775281,0.6312849162011173,0.8037218581008274,0.7531044387369425,seq_Q1_0p5_0p45
oof,Q1,3,id04,11,0.5,0.45,0.5955056179775281,0.6312849162011173,0.5747027961762879,0.49983173399084374,seq_Q1_0p5_0p45
oof,Q1,3,id05,9,0.5,0.45,0.5955056179775281,0.6312849162011173,0.6409251132707702,0.640264542757588,seq_Q1_0p5_0p45
oof,Q1,3,id06,10,0.5,0.45,0.5955056179775281,0.6312849162011173,0.27742333064187896,0.32413935848490005,seq_Q1_0p5_0p45
oof,Q1,3,id07,10,0.5,0.45,0.5955056179775281,0.6312849162011173,0.5178437707543291,0.5572552399616115,seq_Q1_0p5_0p45
oof,Q1,3,id08,11,0.5,0.45,0.5955056179775281,0.6312849162011173,0.41112516752077366,0.4166285747981782,seq_Q1_0p5_0p45
oof,Q1,3,id09,8,0.5,0.45,0.5955056179775281,0.6312849162011173,0.5663546405849964,0.5009011752332304,seq_Q1_0p5_0p45
oof,Q1,3,id10,7,0.5,0.45,0.5955056179775281,0.6312849162011173,0.44861541818065076,0.423262389806176,seq_Q1_0p5_0p45
oof,Q1,4,id01,8,0.5,0.45,0.6105263157894737,0.5895953757225434,0.47099550677140567,0.3945556379094879,seq_Q1_0p5_0p45
oof,Q1,4,id02,9,0.5,0.45,0.6105263157894737,0.5895953757225434,0.5635519025845672,0.5708803220408529,seq_Q1_0p5_0p45
oof,Q1,4,id03,6,0.5,0.45,0.6105263157894737,0.5895953757225434,0.7213625043666081,0.7061179954689373,seq_Q1_0p5_0p45
oof,Q1,4,id04,11,0.5,0.45,0.6105263157894737,0.5895953757225434,0.6155045961847023,0.5989341053313496,seq_Q1_0p5_0p45
oof,Q1,4,id05,8,0.5,0.45,0.6105263157894737,0.5895953757225434,0.43649764158998605,0.39327046098687385,seq_Q1_0p5_0p45
oof,Q1,4,id06,9,0.5,0.45,0.6105263157894737,0.5895953757225434,0.3466368529554634,0.36131959785671275,seq_Q1_0p5_0p45
oof,Q1,4,id07,9,0.5,0.45,0.6105263157894737,0.5895953757225434,0.47078227156452546,0.5284183801284568,seq_Q1_0p5_0p45
oof,Q1,4,id08,11,0.5,0.45,0.6105263157894737,0.5895953757225434,0.35646527187000365,0.3491214155135799,seq_Q1_0p5_0p45
oof,Q1,4,id09,8,0.5,0.45,0.6105263157894737,0.5895953757225434,0.3999919414034874,0.3697843238149703,seq_Q1_0p5_0p45
oof,Q1,4,id10,6,0.5,0.45,0.6105263157894737,0.5895953757225434,0.4950950375769163,0.4144732316104292,seq_Q1_0p5_0p45
test,Q1,-1,id01,27,0.5,0.45,0.6096491228070176,0.6227272727272727,0.4336724013809039,0.4437790101249678,seq_Q1_0p5_0p45
test,Q1,-1,id02,32,0.5,0.45,0.6096491228070176,0.6227272727272727,0.5105957198340306,0.5305383101553258,seq_Q1_0p5_0p45
test,Q1,-1,id03,21,0.5,0.45,0.6096491228070176,0.6227272727272727,0.6787227179611905,0.6396998991538309,seq_Q1_0p5_0p45
test,Q1,-1,id04,27,0.5,0.45,0.6096491228070176,0.6227272727272727,0.5842484958604136,0.5418491126454759,seq_Q1_0p5_0p45
test,Q1,-1,id05,21,0.5,0.45,0.6096491228070176,0.6227272727272727,0.5974882935120752,0.5315729027442054,seq_Q1_0p5_0p45
test,Q1,-1,id06,24,0.5,0.45,0.6096491228070176,0.6227272727272727,0.2615632648414763,0.32605098428444595,seq_Q1_0p5_0p45
test,Q1,-1,id07,30,0.5,0.45,0.6096491228070176,0.6227272727272727,0.5296516335797071,0.5030587705961644,seq_Q1_0p5_0p45
test,Q1,-1,id08,19,0.5,0.45,0.6096491228070176,0.6227272727272727,0.35189420653875336,0.3856229294930933,seq_Q1_0p5_0p45
test,Q1,-1,id09,27,0.5,0.45,0.6096491228070176,0.6227272727272727,0.5103423937300035,0.4949698504287448,seq_Q1_0p5_0p45
test,Q1,-1,id10,22,0.5,0.45,0.6096491228070176,0.6227272727272727,0.4602822400374256,0.4598943885020806,seq_Q1_0p5_0p45
oof,Q1,0,id01,9,0.5,0.6,0.6136363636363636,0.6271186440677966,0.38812273618277726,0.4238361004594772,seq_Q1_0p5_0p6
oof,Q1,0,id02,10,0.5,0.6,0.6136363636363636,0.6271186440677966,0.4647918364292587,0.48232029359771716,seq_Q1_0p5_0p6
oof,Q1,0,id03,7,0.5,0.6,0.6136363636363636,0.6271186440677966,0.8131467496638531,0.7482761060468024,seq_Q1_0p5_0p6
oof,Q1,0,id04,12,0.5,0.6,0.6136363636363636,0.6271186440677966,0.6110989039050624,0.5917979211076346,seq_Q1_0p5_0p6
oof,Q1,0,id05,9,0.5,0.6,0.6136363636363636,0.6271186440677966,0.7594300556964532,0.6974051978742634,seq_Q1_0p5_0p6
oof,Q1,0,id06,10,0.5,0.6,0.6136363636363636,0.6271186440677966,0.30856119325719356,0.36686763141142315,seq_Q1_0p5_0p6
oof,Q1,0,id07,10,0.5,0.6,0.6136363636363636,0.6271186440677966,0.4231188600317646,0.45310414600349447,seq_Q1_0p5_0p6
oof,Q1,0,id08,12,0.5,0.6,0.6136363636363636,0.6271186440677966,0.3669871002688796,0.4072886575275219,seq_Q1_0p5_0p6
