source,target,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
seq_S1_1p25_0p8,S1,0.6493592254304617,0.563604589238368,0.15700707221660964,0.11406012322139181
seq_S1_1p5_0p6,S1,0.6488228898304049,0.5645192598171075,0.15647073661655292,0.11497479380013131
seq_S1_0p8_1,S1,0.6408722280303875,0.565189655246342,0.14852007481653545,0.11564518922936584
seq_S1_0p5_0p45,S1,0.5933646528354036,0.5652156074478198,0.10101249962155162,0.11567114143084367
seq_S1_0p5_0p8,S1,0.6098940776483214,0.565782538944386,0.11754192443446937,0.11623807292740984
seq_S1_0p65_1,S1,0.6329337166206528,0.5666171449966536,0.14058156340680078,0.11707267897967744
last5_sm4,S1,0.6137535332943543,0.567566715880474,0.12140138008050233,0.11802224986349785
seq_S1_0p5_0p3,S1,0.5922731562515923,0.5695298542262353,0.09992100303774026,0.11998538820925908
seq_S1_1_1,S1,0.6574391823146305,0.5701951827975829,0.1650870291007785,0.12065071678060668
seq_S1_0p5_1,S1,0.6303260688443505,0.5742095797401495,0.1379739156304985,0.12466511372317335
seq_S1_0p5_0p15,S1,0.5942570198679521,0.57623858186906,0.10190486665410009,0.1266941158520838
seq_S1_1p5_0p8,S1,0.6801291439045112,0.5820989800237895,0.18777699069065917,0.13255451400681328
seq_S1_1p25_1,S1,0.6849882544355003,0.5842891019775317,0.19263610122164826,0.13474463596055553
seq_S1_1p5_1,S1,0.7179260495613025,0.6044912068183848,0.22557389634745045,0.15494674080140858
last30_sm4,S2,0.5944047940121744,0.6131539622998848,0.034284388322466164,-0.009661360595548563
anchor_temp_0p85,S2,0.5633849964587816,0.6160366260823963,0.003264590769073372,-0.006778696813037111
anchor_temp_0p92,S2,0.5613136080317191,0.61865057912446,0.001193202342010924,-0.0041647437709734225
anchor,S2,0.5601204056897082,0.6228153228954334,0.0,0.0
ridge10,S2,0.5694927495465533,0.624990386266865,0.009372343856845045,0.002175063371431585
ridge30,S2,0.5728056274317569,0.6261703807314153,0.012685221742048669,0.0033550578359818894
anchor_temp_1p08,S2,0.5600826069807372,0.6281260332186646,-3.779870897102633e-05,0.00531071032323116
anchor_temp_1p15,S2,0.5609228678289356,0.6336291957291681,0.0008024621392274112,0.010813872833734695
last5_sm4,S2,0.5874017162098916,0.6358724717121694,0.027281310520183344,0.01305714881673603
ridge3,S2,0.5701630300056463,0.6382952861501203,0.010042624315938053,0.015479963254686924
